vehicle_make,vehicle_model,vehicle_body_type,vehicle_year,vehicle_mileage,vehicle_transmission,vehicle_price
Toyota,Kijang Innova,MPV,2006,292500,Manual,80000000
Toyota,Sienta,MPV,2017,97500,Manual,138000000
Mercedes-Benz,A250,Hatchback,2015,42500,Automatic,345000000
Ford,Escape,SUV,2007,137500,Automatic,65000000
Daihatsu,Rocky,Wagon,2021,12500,Manual,182000000
Nissan,Grand Livina,MPV,2018,17500,Automatic,160000000
Toyota,Avanza,MPV,2005,182500,Automatic,75000000
BMW,525i,Sedan,2001,92500,Automatic,85000000
Honda,Freed,MPV,2010,122500,Automatic,122500000
Toyota,Avanza,MPV,2022,7500,Automatic,225000000
Honda,Freed,MPV,2010,87500,Automatic,140000000
Toyota,Avanza,MPV,2011,137500,Automatic,124000000
Mitsubishi,Lancer,Sedan,2005,122500,Manual,75000000
Ford,Fiesta,Hatchback,2011,87500,Automatic,80000000
Mitsubishi,Triton,Pick-up,2016,112500,Manual,230000000
Toyota,Rush,SUV,2014,112500,Manual,138000000
Mercedes-Benz,E230,Sedan,1990,47500,Manual,35000000
Toyota,Fortuner,SUV,2012,97500,Automatic,260000000
Honda,Freed,MPV,2011,127500,Automatic,138000000
Toyota,Rush,SUV,2018,47500,Automatic,220000000
Nissan,X-Trail,SUV,2013,117500,Automatic,130000000
Daihatsu,Xenia,MPV,2009,207500,Automatic,77000000
Toyota,Calya,MPV,2020,47500,Automatic,135000000
Suzuki,Aerio,Hatchback,2003,214000,Automatic,39000000
Honda,Mobilio,MPV,2015,102500,Automatic,155000000
Honda,Brio,Hatchback,2019,32500,Manual,149000000
Suzuki,Ertiga,MPV,2016,77600,Manual,128000000
Toyota,Avanza,MPV,2022,22000,Automatic,225000000
Mercedes-Benz,200,Sedan,1986,132500,Manual,466000000
Suzuki,Ertiga,MPV,2017,117500,Manual,145000000
Toyota,Fortuner,SUV,2021,47500,Automatic,475000000
Hyundai,Atoz,Hatchback,2004,132500,Manual,52000000
Mercedes-Benz,C240,Sedan,2005,122500,Automatic,95000000
Honda,CR-V,SUV,2019,62500,Automatic,389000000
Honda,Brio,Hatchback,2017,42500,Manual,119000000
Honda,Jazz,Hatchback,2014,122500,Automatic,162000000
Mitsubishi,Triton,Pick-up,2020,32500,Automatic,470000000
Honda,Brio,Hatchback,2017,52500,Automatic,135000000
Toyota,Yaris,Hatchback,2018,52500,Automatic,210000000
Suzuki,Ertiga,MPV,2017,42500,Automatic,152000000
Toyota,Yaris,Hatchback,2007,107500,Automatic,95000000
Toyota,Hilux,Pick-up,2018,122500,Manual,275000000
Daihatsu,Terios,SUV,2010,202500,Automatic,95000000
Mercedes-Benz,GLC200,SUV,2018,67500,Automatic,700000000
Toyota,Kijang Innova,MPV,2019,127500,Manual,340000000
Hyundai,Atoz,Hatchback,2003,152500,Manual,50000000
Mitsubishi,Xpander,Wagon,2017,32500,Automatic,230000000
Mitsubishi,Xpander,Wagon,2020,32500,Automatic,257000000
Honda,HR-V,SUV,2017,57500,Automatic,235000000
Honda,Civic,Hatchback,1990,122500,Manual,90000000
Wuling,Almaz,Wagon,2019,12500,Automatic,200000000
Toyota,Fortuner,SUV,2021,22500,Automatic,530000000
Isuzu,Pickup,Pick-up,2014,192500,Manual,92500000
Mazda,RX-8,Coupe,2004,62500,Manual,210000000
Honda,Jazz,Hatchback,2008,152500,Automatic,95000000
Toyota,Vellfire,Van Wagon,2009,152500,Automatic,220000000
Toyota,Agya,Hatchback,2017,87500,Automatic,115000000
Toyota,Veloz,Wagon,2021,27500,Automatic,253000000
Isuzu,D-Max,Pick-up,2013,137500,Automatic,305000000
Toyota,Kijang Innova,MPV,2017,92500,Automatic,289600000
Toyota,Kijang Innova,MPV,2015,122500,Manual,185000000
Toyota,Agya,Hatchback,2021,22500,Automatic,140000000
Nissan,Serena,MPV,2013,142500,Automatic,140000000
Toyota,Rush,SUV,2022,17500,Automatic,254000000
BMW,520i,Sedan,2022,7500,Automatic,950000000
Daihatsu,Gran Max,Van,2018,137500,Manual,103000000
Toyota,Kijang Innova,MPV,2015,202500,Automatic,232000000
Honda,Accord,Sedan,1994,182500,Automatic,55000000
Daihatsu,Xenia,MPV,2023,12500,Automatic,222000000
Toyota,Fortuner,SUV,2016,122500,Automatic,340000000
Mercedes-Benz,E230,Sedan,1990,122500,Manual,30000000
Wuling,Cortez,Wagon,2018,52500,Automatic,158000000
Mercedes-Benz,C250,Coupe,2011,72500,Automatic,470000000
Suzuki,Ertiga,MPV,2018,47500,Automatic,180000000
BMW,X3,SUV,2022,2500,Automatic,1220000000
BMW,320i,Sedan,2018,81800,Automatic,420000000
Honda,BR-V,SUV,2016,117500,Manual,161500000
Hyundai,i20,Hatchback,2010,107500,Automatic,110000000
Nissan,Grand Livina,MPV,2010,162500,Automatic,90000000
Honda,Civic,Sedan,2013,137500,Automatic,175000000
Toyota,Kijang Innova,MPV,2019,72500,Automatic,337500000
Toyota,Fortuner,SUV,2018,32500,Automatic,380000000
Suzuki,XL7,Wagon,2020,17000,Automatic,207000000
Toyota,Alphard,MPV,2012,80000,Automatic,320000000
Mercedes-Benz,E250,Sedan,2012,42500,Automatic,285000000
Toyota,Avanza,MPV,2013,132500,Manual,170000000
Toyota,Rush,SUV,2021,37500,Manual,228000000
KIA,Picanto,Hatchback,2010,82500,Automatic,70000000
Toyota,Sienta,MPV,2017,52500,Manual,165000000
Toyota,Avanza,MPV,2017,72500,Automatic,155000000
Toyota,Avanza,MPV,2021,72500,Manual,186000000
Mazda,2,Hatchback,2014,87500,Automatic,137000000
Honda,CR-V,SUV,2019,117500,Automatic,425000000
Honda,Accord,Sedan,2012,72500,Automatic,160000000
Mercedes-Benz,CLA200,Coupe,2018,22500,Automatic,660000000
Mitsubishi,Pajero Sport,SUV,2014,97500,Automatic,309000000
Toyota,Rush,SUV,2014,142500,Automatic,135000000
Toyota,Sienta,MPV,2018,60000,Automatic,185000000
Toyota,Voxy,Wagon,2020,32500,Automatic,438000000
